Ad ID,Car Name,Make,Model,Year,KM's driven,Price,Fuel,Registration city,Car documents,Assembly,Transmission,Condition,Seller Location,Car Features
1080733373,"Corolla Xli 2011,Crystal light. In Excellent condition.",Toyota,Corolla XLI,2011,123456,2070000,Petrol,Lahore,Original,Local,Manual,Used,"Peshawar Road, Rawalpindi","Air Conditioning, Alloy Rims, AM/FM Radio, CD Player"
1080491605,Corolla Grande,Toyota,Altis Grande,2014,150000,3300000,Petrol,Sindh,Original,Imported,Manual,Used,"Hyderabad Road, Mirpur Khas","ABS, Air Bags"
1080928139,Mercedes E240 sunroof body genuine,Mercedes,E Class,2003,120000,3600000,Petrol,Sindh,Original,Imported,Automatic,Used,"Cavalry Ground, Lahore","ABS, Air Bags, Air Conditioning, Alloy Rims, CD Player, Cruise Control, Climate Control, Front Speakers, Power Locks, Power Mirrors, Power Steering, Rear AC Vents, Rear speakers, Sun Roof"
1075673092,Honda city model 2006,Honda,City IDSI,2006,152000,1700000,Petrol,Karachi,Original,Local,Manual,Used,"Defence View Phase 2, Karachi","ABS, Air Conditioning, AM/FM Radio, CD Player, Front Speakers, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Camera"
1080946920,santro 2002 DEC,Hyundai,Santro,2002,100000,650000,Petrol,Sindh,Original,Local,Manual,Used,"Pechs I, Karachi",Alloy Rims
1077576628,dihatsu move  urgent sale,Daihatsu,Move,2021,100000,2900000,Petrol,Punjab,Original,Imported,Automatic,Used,"Gulshan-e-Mehfooz Housing Society, Sahiwal","ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, DVD Player, Front Speakers, Front Camera, Heated Seats, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080680537,HONDA CITY 2001 Auto,Honda,City IDSI,2001,40000,950000,Petrol,Karachi,Original,Imported,Automatic,Used,"Buffer Zone 1, Karachi","Air Conditioning, Alloy Rims, AM/FM Radio, Cassette Player, Front Speakers, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera"
1077526201,haijet Atrai turbo 660cc B to B original,Daihatsu,Hijet,2011,150000,2300000,Petrol,Islamabad,Original,Imported,Automatic,Used,"Asghar Mall Road, Rawalpindi","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, Climate Control, Front Speakers, Front Camera, Heated Seats, Immobilizer Key, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080709799,Toyota Corolla xli,Toyota,Corolla XLI,2007,250000,1350000,Petrol,Lahore,Original,Imported,Manual,Used,"Faizabad, Rawalpindi","Alloy Rims, Navigation System, Power Steering, Rear AC Vents, Rear speakers, Rear Camera"
1080487697,Yaris Toyota 1.3,Toyota,Yaris,2022,22000,5000000,Petrol,Punjab,Original,Imported,Automatic,Used,"Fateh Garh, Lahore","ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cassette Player, Cool Box, Cruise Control, DVD Player, Front Speakers, Heated Seats, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear Seat Entertainment, Rear AC Vents, Rear speakers, Steering Switches, USB and Auxillary Cable"
1080434024,Toyota Altis automatic for sale,Toyota,Corrolla Altis,2010,105000,2350000,Petrol,Islamabad,Original,Local,Automatic,Used,"Bahria Town, Islamabad","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Cruise Control, Climate Control, DVD Player, Front Speakers, Power Locks, Power Mirrors, Power Steering, Power Windows, USB and Auxillary Cable"
1079238861,Cultus 2005 model VXR,Suzuki,Cultus VXR,2005,95000,950000,Petrol,Lahore,Original,Imported,Manual,Used,"Burma Town, Islamabad","Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Keyless Entry"
1074042148,City 1.5 Manual Aspire brand new condition,Honda,City Aspire,2019,60500,3950000,Petrol,Islamabad,Original,Local,Manual,Used,"National Police Foundation O-9, Islamabad","ABS, Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, Front Camera, Navigation System, Power Steering, Power Windows, Rear Camera, USB and Auxillary Cable"
1080356364,Suzuki ravi,Suzuki,Ravi,2017,60000,1500000,Petrol,Islamabad,Original,Imported,Manual,Used,"Asghar Mall Scheme, Rawalpindi",AM/FM Radio
1080394953,suzuki swift 2013 model sindh number,Suzuki,Swift,2013,99000,1820000,Petrol,Karachi,Original,Local,Manual,Used,"Chah Hafiz Wala, Multan","ABS, Air Bags, Air Conditioning, Alloy Rims, Front Speakers, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
1080622383,suzuki alto vxl ags 2022,Suzuki,Alto,2022,7300,2815000,Petrol,Karachi,Original,Local,Automatic,Used,"Punjab Chowrangi, Karachi",Air Bags
1080195802,lancer 2005,Mitsubishi,Lancer,2005,112233,1200000,Petrol,Karachi,Original,Imported,Manual,Used,"Hussainabad, Hyderabad","Air Conditioning, AM/FM Radio, CD Player, Front Speakers, Power Steering"
1080734301,This car is in good condition and also it's engine,Suzuki,Swift,2016,123000,2200000,Petrol,Lahore,Original,Imported,Manual,Used,"Alfalah Town, Lahore","Alloy Rims, AM/FM Radio, CD Player"
1080786841,foll saond sistam,Suzuki,Baleno,2005,75000,560000,Petrol,Karachi,Duplicate,Local,Manual,Used,"Ancholi, Karachi",ABS
1080391801,Daihatsu Coure 2011 Automatic,Daihatsu,Cuore,2011,35000,1200000,Petrol,Lahore,Original,Local,Automatic,Used,"Model Town, Lahore","Air Conditioning, AM/FM Radio, CD Player, Front Speakers"
1077660847,Wagon R 2018 Full Perfect Never Open 0 Accident,Suzuki,Wagon R,2018,93575,1925000,Petrol,Lahore,Original,Imported,Manual,Used,"Saddar, Lahore","Air Conditioning, AM/FM Radio, CD Player, Cool Box, Front Speakers, Keyless Entry, Navigation System, Power Locks, Power Steering, Rear speakers"
1079497365,Blaeno Suzuki 2003model,Suzuki,Baleno,2003,99999,930000,Petrol,Faisalabad,Original,Local,Manual,Used,"I-10, Islamabad","Air Conditioning, AM/FM Radio, Front Speakers, Immobilizer Key, Power Locks, Power Windows, Rear AC Vents, Rear Camera, Steering Switches"
1080068324,changan karvaan plus 2022 model urgent sale biomatric available,Changan,Karvaan,2022,7000,2200000,Petrol,Lahore,Original,Local,Manual,Used,"Sabzazar, Lahore","ABS, Air Conditioning, AM/FM Radio, Front Speakers, Immobilizer Key, Keyless Entry, Power Steering, Power Windows, Rear AC Vents"
1080862767,wagon R 2019 model,Suzuki,Wagon R,2019,50000,2500000,Petrol,Lahore,Original,Local,Manual,Used,"Mughalpura, Lahore","Air Conditioning, AM/FM Radio, CD Player, DVD Player, Front Speakers"
1080594676,Xli 2020 model Saaf gari,Toyota,Corolla XLI,2020,48000,4300000,Petrol,Islamabad,Original,Local,Automatic,Used,"Palm City Housing Scheme, Gujranwala","Air Bags, Air Conditioning, AM/FM Radio, Cassette Player, Cool Box, Cruise Control, Climate Control, DVD Player, Immobilizer Key, Power Mirrors, Power Steering, Power Windows, Rear Camera"
1080667885,toyota corrolla Gli total geniune,Toyota,Corolla GLI,2019,60000,2195000,Petrol,Islamabad,Original,Local,Manual,Used,"Shadbagh, Lahore","ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Cassette Player, Cool Box, DVD Player, Front Speakers, Heated Seats, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
1080141910,faw xpv for sale,FAW,X-PV,2014,150000,900000,Petrol,Lahore,Original,Local,Manual,Used,"Haroonabad, Bahawalnagar","AM/FM Radio, Navigation System, Rear speakers, Steering Switches, USB and Auxillary Cable"
